jurisdiction,category,alias
International,international,Bank for International Settlements
International,international,BIS Monetary and Economic Department
International,international,International Monetary Fund
International,international,Inter-American Development Bank
International,international,World Trade Organization
International,international,Organisation for Economic Co-operation and Development
International,international,United Nations
International,international,Committee on Payments and Market Infrastructures
European Union,supranational,European Central Bank
European Union,supranational,ECB Executive Board
European Union,supranational,European Monetary Institute
European Union,supranational,Europ. Central Bank
European Union,supranational,ECB
United States,national,Board of Governors of the Federal Reserve System
United States,national,Federal Reserve Board
United States,national,Federal Reserve Bank
United States,national,Federal Reserve System
United Kingdom,national,Bank of England
United Kingdom,national,Financial Services Authority
Japan,national,Bank of Japan
Canada,national,Bank of Canada
Australia,national,Reserve Bank of Australia
New Zealand,national,Reserve Bank of New Zealand
Switzerland,national,Swiss National Bank
Switzerland,national,Banque nationale suisse
Switzerland,national,Swiss Federal Banking Commission
Switzerland,national,SNB
Germany,national,Deutsche Bundesbank
Germany,national,German Federal Bank
France,national,Banque de France
France,national,Bank of France
Italy,national,Banca d'Italia
Italy,national,Bank of Italy
Spain,national,Banco de España
Spain,national,Banco de Espana
Spain,national,Bank of Spain
Netherlands,national,De Nederlandsche Bank
Netherlands,national,Netherlands Bank
Belgium,national,National Bank of Belgium
Austria,national,Oesterreichische Nationalbank
Austria,national,Austrian National Bank
Austria,national,Central Bank of the Republic of Austria
Portugal,national,Banco de Portugal
Portugal,national,Bank of Portugal
Ireland,national,Central Bank of Ireland
Ireland,national,Central Bank and Financial Services Authority of Ireland
Ireland,national,Central Bank & Financial Services Authority of Ireland
Ireland,national,Centr. Bank and Fin. Services Authority of Ireland
Greece,national,Bank of Greece
Finland,national,Bank of Finland
Finland,national,Suomen Pankki
Luxembourg,national,Central Bank of Luxembourg
Luxembourg,national,Banque centrale du Luxembourg
Slovenia,national,Banka Slovenije
Slovenia,national,Bank of Slovenia
Slovakia,national,Národná banka Slovenska
Slovakia,national,National Bank of Slovakia
Croatia,national,Croatian National Bank
Croatia,national,Hrvatska narodna banka
Cyprus,national,Central Bank of Cyprus
Malta,national,Central Bank of Malta
Estonia,national,Eesti Pank
Estonia,national,Bank of Estonia
Latvia,national,Latvijas Banka
Latvia,national,Bank of Latvia
Lithuania,national,Lietuvos bankas
