year,country_method,speeches
1996,institution_alias,10
1997,institution_alias,193
1997,speaker_fallback,18
1997,unresolved,1
1998,institution_alias,183
1998,speaker_fallback,21
1999,institution_alias,273
1999,speaker_fallback,8
2000,institution_alias,291
2000,speaker_fallback,7
2001,institution_alias,309
2001,speaker_fallback,4
2002,institution_alias,333
2002,speaker_fallback,3
2002,unresolved,1
2003,institution_alias,336
2003,speaker_fallback,2
2004,institution_alias,568
2004,speaker_fallback,2
2004,unresolved,2
2005,institution_alias,595
2005,speaker_fallback,2
2005,unresolved,2
2006,institution_alias,712
2006,speaker_fallback,4
2006,unresolved,1
2007,institution_alias,831
2007,speaker_fallback,4
2007,unresolved,1
2008,institution_alias,865
2008,speaker_fallback,5
2008,unresolved,1
2009,institution_alias,834
2009,speaker_fallback,11
2009,unresolved,3
2010,institution_alias,934
2010,speaker_fallback,15
2011,institution_alias,935
2011,speaker_fallback,9
2012,institution_alias,907
2012,speaker_fallback,11
2012,unresolved,2
2013,institution_alias,991
2013,speaker_fallback,11
2013,unresolved,1
2014,institution_alias,930
2014,speaker_fallback,6
2015,institution_alias,858
2015,speaker_fallback,8
2016,institution_alias,906
2016,speaker_fallback,4
2016,unresolved,1
2017,institution_alias,1018
2017,speaker_fallback,4
2018,institution_alias,921
2018,unresolved,2
2019,institution_alias,1007
2019,speaker_fallback,1
2019,unresolved,3
2020,institution_alias,709
2020,unresolved,2
2021,institution_alias,671
2021,speaker_fallback,1
2022,institution_alias,758
2022,speaker_fallback,2
2022,unresolved,1
2023,institution_alias,738
2023,speaker_fallback,1
2023,unresolved,3
2024,institution_alias,813
2024,speaker_fallback,1
2024,unresolved,2
2025,institution_alias,739
2025,speaker_fallback,2
2025,unresolved,3
2026,institution_alias,360
2026,speaker_fallback,1
