jurisdiction,speeches,speakers,years_observed,mean_hawkishness,median_hawkishness,mean_mixedness,mean_signal_strength,central_bank,years_with_3plus_speeches,annual_tone_sd,annual_tone_range,bootstrap_ci_lower,bootstrap_ci_upper
United States,2061,68,31,0.45799665,0.46324053,0.79060138,0.55053347,Board of Governors of the Federal Reserve System,30,0.04781536,0.21314321,0.45241947,0.46356864
India,811,43,31,0.44881493,0.45767526,0.76234033,0.52314242,Reserve Bank of India,30,0.04498278,0.15090542,0.43892082,0.45829966
Japan,780,47,31,0.40587752,0.40637553,0.75479889,0.56262694,Bank of Japan,30,0.07102283,0.27215075,0.39744897,0.41466187
Germany,779,32,31,0.45425823,0.45386434,0.77606786,0.49263819,Deutsche Bundesbank,30,0.04712014,0.20897922,0.44479255,0.46377850
United Kingdom,751,43,31,0.46252461,0.46978117,0.79825042,0.50570883,Bank of England,30,0.04210153,0.15825318,0.45305321,0.47100340
Canada,594,29,30,0.47498120,0.47800807,0.81202287,0.54202895,Bank of Canada,30,0.05753732,0.24439765,0.46547165,0.48498244
Australia,534,18,30,0.45981739,0.46127533,0.79894318,0.55839888,Reserve Bank of Australia,30,0.06174394,0.21441849,0.45004667,0.46980929
Sweden,495,25,30,0.50341709,0.51654023,0.84719371,0.52522024,Sveriges Riksbank,30,0.03959860,0.16527925,0.49363222,0.51203040
South Africa,397,12,30,0.50463402,0.51797370,0.82466525,0.55581281,South African Reserve Bank,29,0.04622537,0.20980891,0.49375906,0.51638066
Switzerland,386,18,30,0.44472463,0.44588207,0.77338673,0.50914885,Swiss National Bank,28,0.07360743,0.28472367,0.43072461,0.45865146
Italy,384,19,29,0.44106228,0.43570950,0.78097183,0.55155540,Bank of Italy,26,0.04560026,0.19702064,0.42955782,0.45307203
France,379,11,30,0.44182622,0.44134650,0.77656066,0.50063169,Bank of France,27,0.07017449,0.27000379,0.42896713,0.45452021
Philippines,377,7,21,0.44027538,0.44122962,0.74793015,0.54511739,Bangko Sentral ng Pilipinas,21,0.07996984,0.29739358,0.42592599,0.45517472
Ireland,318,16,28,0.45038041,0.45150748,0.73765620,0.54278356,Central Bank of Ireland,25,0.06348503,0.23777628,0.43284460,0.46604383
Spain,310,12,27,0.42789329,0.42158399,0.74353858,0.56153437,Bank of Spain,23,0.06896603,0.24596566,0.41251851,0.44387357
Norway,301,9,28,0.52987559,0.53691435,0.82579782,0.57833542,Norges Bank,28,0.07511134,0.29692719,0.51815224,0.54201988
Albania,266,8,24,0.41058860,0.39651835,0.73992044,0.53719830,Bank of Albania,23,0.06938630,0.22879771,0.39482188,0.42671474
Malaysia,206,22,27,0.42155353,0.40054406,0.64101634,0.60603841,Central Bank of Malaysia,25,0.08956834,0.38544857,0.39624128,0.44863401
New Zealand,199,15,30,0.46410565,0.47962207,0.80412563,0.54335214,Reserve Bank of New Zealand,27,0.05631456,0.23705541,0.44745042,0.48045601
Thailand,192,16,26,0.44136245,0.44542867,0.75656278,0.55245772,Bank of Thailand,21,0.07537022,0.29720531,0.42026289,0.46201313
Finland,191,8,27,0.43907264,0.42974374,0.76203662,0.50362559,Bank of Finland,20,0.08688964,0.27556930,0.41882926,0.45866317
Singapore,177,17,28,0.47166266,0.47303407,0.70489878,0.57601576,Monetary Authority of Singapore,23,0.08746567,0.36312582,0.44565966,0.49843147
Netherlands,175,12,30,0.47635801,0.47419927,0.72819722,0.53578243,Netherlands Bank,23,0.09079065,0.39368932,0.45196425,0.50099978
Greece,169,11,28,0.40914228,0.39713484,0.72428951,0.59317009,Bank of Greece,18,0.09290990,0.34983300,0.38692605,0.43127330
Chile,146,11,23,0.51503449,0.52796847,0.84145936,0.53031365,Central Bank of Chile,20,0.06426329,0.30654373,0.49897534,0.53142782
Serbia,132,6,21,0.44330570,0.43560238,0.76530910,0.60007551,National Bank of Serbia,17,0.07908462,0.27405753,0.41968815,0.46641915
Mauritius,117,10,25,0.42568869,0.42463371,0.72467924,0.48047929,Bank of Mauritius,19,0.08566147,0.33952558,0.39643847,0.45530846
Türkiye,106,9,24,0.53925975,0.53347565,0.83478875,0.57751624,Central Bank of the Republic of Turkey,16,0.04373329,0.17471006,0.52150420,0.55752523
Denmark,104,9,26,0.48138484,0.47536539,0.77391822,0.61433929,National Bank of Denmark,19,0.10006419,0.38507167,0.45285857,0.50838626
China,103,19,21,0.36443349,0.35327933,0.64232671,0.56055522,People's Bank of China,15,0.09874643,0.34869638,0.33305986,0.39493142
South Korea,103,10,25,0.44870719,0.44322822,0.78786696,0.51964362,Bank of Korea,17,0.05885618,0.22065822,0.42647603,0.47197367
Zambia,102,7,17,0.41177347,0.38574293,0.67875738,0.61746934,Bank of Zambia,10,0.05400626,0.16452091,0.38038569,0.44498601
Uganda,101,5,17,0.42517442,0.43687737,0.73550457,0.54376107,Bank of Uganda,15,0.06598112,0.27285084,0.39541716,0.45404391
Israel,92,7,20,0.41524759,0.39597883,0.76189152,0.54392672,Bank of Israel,13,0.03478037,0.11809685,0.39249349,0.43931533
Iceland,92,13,26,0.52053272,0.53050969,0.84682817,0.51978232,Central Bank of Iceland,15,0.05409789,0.15638334,0.50003220,0.53796171
Mexico,89,10,15,0.48723461,0.50438834,0.81969949,0.56912569,Bank of Mexico,11,0.07559952,0.25444274,0.46243018,0.50951428
Pakistan,89,8,17,0.42729327,0.44265257,0.72179462,0.56394854,State Bank of Pakistan,11,0.10581902,0.30582493,0.39074292,0.46029478
Austria,80,6,27,0.43893967,0.45647441,0.80762717,0.50383367,Austrian National Bank,15,0.07541619,0.29165284,0.41522475,0.46288074
