year,speeches,persistence_speeches,persistence_share
1996,10,0,0.00000000
1997,212,2,0.00943396
1998,204,1,0.00490196
1999,281,5,0.01779359
2000,298,19,0.06375839
2001,313,20,0.06389776
2002,337,8,0.02373887
2003,338,8,0.02366864
2004,572,29,0.05069930
2005,599,38,0.06343907
2006,717,51,0.07112971
2007,836,40,0.04784689
2008,871,108,0.12399541
2009,848,28,0.03301887
2010,949,21,0.02212856
2011,944,68,0.07203390
2012,920,28,0.03043478
2013,1003,20,0.01994018
2014,936,38,0.04059829
2015,866,48,0.05542725
2016,911,65,0.07135016
2017,1022,41,0.04011742
2018,923,39,0.04225352
2019,1011,29,0.02868447
2020,711,24,0.03375527
2021,672,42,0.06250000
2022,761,155,0.20367937
2023,742,174,0.23450135
2024,816,102,0.12500000
2025,744,77,0.10349462
2026,361,76,0.21052632
