year,speeches,jurisdiction
1996,1,United States
1997,60,United States
1998,50,United States
1999,47,United States
2000,47,United States
2001,51,United States
2002,59,United States
2003,54,United States
2004,109,United States
2005,100,United States
2006,90,United States
2007,98,United States
2008,94,United States
2009,81,United States
2010,106,United States
2011,118,United States
2012,82,United States
2013,88,United States
2014,117,United States
2015,98,United States
2016,81,United States
2017,91,United States
2018,74,United States
2019,109,United States
2020,83,United States
2021,75,United States
2022,61,United States
2023,103,United States
2024,110,United States
2025,112,United States
2026,39,United States
1996,1,United Kingdom
1997,13,United Kingdom
1998,15,United Kingdom
1999,13,United Kingdom
2000,24,United Kingdom
2001,21,United Kingdom
2002,14,United Kingdom
2003,7,United Kingdom
2004,14,United Kingdom
2005,12,United Kingdom
2006,19,United Kingdom
2007,16,United Kingdom
2008,26,United Kingdom
2009,33,United Kingdom
2010,44,United Kingdom
2011,35,United Kingdom
2012,24,United Kingdom
2013,36,United Kingdom
2014,39,United Kingdom
2015,48,United Kingdom
2016,45,United Kingdom
2017,43,United Kingdom
2018,47,United Kingdom
2019,50,United Kingdom
2020,40,United Kingdom
2021,42,United Kingdom
2022,41,United Kingdom
2023,38,United Kingdom
2024,16,United Kingdom
2025,22,United Kingdom
2026,9,United Kingdom
1996,2,Japan
1997,23,Japan
1998,14,Japan
1999,16,Japan
2000,23,Japan
2001,16,Japan
2002,21,Japan
2003,28,Japan
2004,17,Japan
2005,19,Japan
2006,14,Japan
2007,19,Japan
2008,19,Japan
2009,31,Japan
2010,37,Japan
2011,40,Japan
2012,49,Japan
2013,43,Japan
2014,46,Japan
2015,35,Japan
2016,37,Japan
2017,40,Japan
2018,29,Japan
2019,42,Japan
2020,25,Japan
2021,27,Japan
2022,22,Japan
2023,20,Japan
2024,25,Japan
2025,26,Japan
2026,9,Japan
