author,period,period_index,mean_hawkishness,median_hawkishness,speeches,mean_mixedness,mean_signal_strength
Alan Greenspan,1997-H1,1997.00000000,0.50167563,0.54671308,15,0.81191145,0.53291788
Alan Greenspan,1997-H2,1997.50000000,0.48059776,0.50229989,10,0.83087048,0.57434868
Alan Greenspan,1998-H1,1998.00000000,0.51585899,0.55414256,8,0.86569146,0.59200131
Alan Greenspan,1998-H2,1998.50000000,0.59897005,0.60603941,4,0.76375239,0.61167296
Alan Greenspan,1999-H1,1999.00000000,0.50872854,0.52105046,7,0.87361956,0.56897915
Alan Greenspan,1999-H2,1999.50000000,0.44929383,0.43511132,4,0.80605316,0.45650527
Alan Greenspan,2000-H1,2000.00000000,0.55302883,0.57180696,8,0.82265804,0.63452657
Alan Greenspan,2000-H2,2000.50000000,0.50576568,0.52972264,6,0.72663452,0.55834127
Alan Greenspan,2001-H1,2001.00000000,0.49753819,0.49005828,9,0.85146717,0.67636551
Alan Greenspan,2001-H2,2001.50000000,0.47783077,0.46846146,6,0.82816251,0.50017016
Alan Greenspan,2002-H1,2002.00000000,0.44941583,0.44549084,9,0.75487623,0.57670310
Alan Greenspan,2002-H2,2002.50000000,0.42329726,0.42787290,9,0.74131295,0.56723499
Alan Greenspan,2003-H1,2003.00000000,0.39261775,0.43141227,7,0.78523550,0.60349465
Alan Greenspan,2003-H2,2003.50000000,0.39583532,0.40761656,3,0.79167064,0.59052798
Alan Greenspan,2004-H1,2004.00000000,0.48564669,0.51251249,17,0.83219564,0.61020031
Alan Greenspan,2004-H2,2004.50000000,0.51038529,0.53592220,10,0.87346240,0.59876517
Alan Greenspan,2005-H1,2005.00000000,0.58029127,0.57664792,17,0.69128288,0.68019385
Alan Greenspan,2005-H2,2005.50000000,0.49653760,0.53179492,12,0.81191033,0.58885777
"Amando M Tetangco, Jr",2004-H2,2004.50000000,0.49254188,0.49254188,1,0.98508377,0.46364211
"Amando M Tetangco, Jr",2005-H2,2005.50000000,0.52560448,0.52560448,2,0.94879104,0.48785764
"Amando M Tetangco, Jr",2006-H1,2006.00000000,0.48080256,0.52396167,10,0.74715926,0.62596903
"Amando M Tetangco, Jr",2006-H2,2006.50000000,0.38104500,0.33889299,3,0.67335505,0.48253220
"Amando M Tetangco, Jr",2007-H1,2007.00000000,0.43147432,0.44990710,9,0.75429295,0.59032487
"Amando M Tetangco, Jr",2007-H2,2007.50000000,0.43340829,0.48905064,8,0.82435278,0.50535827
"Amando M Tetangco, Jr",2008-H1,2008.00000000,0.44976888,0.42896549,10,0.79607457,0.62510521
"Amando M Tetangco, Jr",2008-H2,2008.50000000,0.50683426,0.56784784,12,0.69953370,0.58865410
"Amando M Tetangco, Jr",2009-H1,2009.00000000,0.39414210,0.36992913,13,0.70903005,0.65216611
"Amando M Tetangco, Jr",2009-H2,2009.50000000,0.31994992,0.30507963,7,0.63989984,0.63350765
