speech_id,url,title,author,date,year,word_count,jurisdiction,jurisdiction_category,country_method,institution_alias,inflation_mentioned,inflation_persistence,persistence_pattern,persistence_phrase,policy_clause_count,hawkishness_score,tone_mixedness,tone_signal_strength,tone_valid,tone_label
dc050bf88bcbeae2,https://www.bis.org/review/r970211c.pdf,"Mr. Chen discusses monetary relations between China and Hong Kong (Central Bank Articles and Speeches, 10 Sep 96)",Chen Yuan,1996-09-10 00:00:00,1996,2931,China,national,institution_alias,People's Bank of China,True,False,,,1,0.54412511,0.91174978,0.23189369,True,balanced
dfd6ee586ad1f1e3,https://www.bis.org/review/r970211b.pdf,"Mr. Dai looks at the possibilities of strengthening financial co-operation between China and Hong Kong in order to promote economic prosperity and stability (Central Bank Articles and Speeches, 13 Nov 96)",Dai Xianglong,1996-11-13 00:00:00,1996,2975,China,national,institution_alias,People's Bank of China,True,False,,,5,0.63584935,0.72830131,0.42774741,True,hawkish
b6db363a6e2c8f90,https://www.bis.org/review/r970211a.pdf,"Mr. Dai assesses the outlook for Hong Kong as Asia's financial centre (Central Bank Articles and Speeches, 30 Sep 96)",Dai Xianglong,1996-09-30 00:00:00,1996,1732,China,national,institution_alias,People's Bank of China,True,False,,,7,0.58101143,0.83797714,0.52668483,True,hawkish
2a4358b52fc4566b,https://www.bis.org/review/r970203b.pdf,"Mr. Rangarajan examines the objectives of monetary policy and price stability in relation to the economy of India (Central Bank Articles and Speeches, 28 Dec 96)",Bimal Jalan,1996-12-28 00:00:00,1996,2775,India,national,institution_alias,Reserve Bank of India,True,False,,,85,0.63829566,0.72340869,0.52323166,True,hawkish
37fc6ea57f863160,https://www.bis.org/review/r970115a.pdf,"M. Trichet presents the monetary policy guidelines of the Bank of France for 1997 (Central Bank Articles and Speeches, 17 Dec 96)",Bank of France,1996-12-17 00:00:00,1996,3034,France,national,institution_alias,Bank of France,True,False,,,41,0.52877860,0.94244279,0.54117137,True,balanced
3bd00a53140c0580,https://www.bis.org/review/r970108c.pdf,"Mr. Davies gives his personal view of EMU (Central Bank Articles and Speeches, 16 Dec 96)",Mervyn King,1996-12-16 00:00:00,1996,3403,United Kingdom,national,institution_alias,Bank of England,True,False,,,9,0.54201136,0.91597728,0.49483187,True,balanced
724c03447bc27267,https://www.bis.org/review/r970108b.pdf,"Ms. Rivlin discusses the prudential regulation of banks and how to improve it (Central Bank Articles and Speeches, 19 Dec 96)",Alice M Rivlin,1996-12-19 00:00:00,1996,3729,United States,national,institution_alias,Federal Reserve System,False,False,,,6,0.50122653,0.99754695,0.43244846,True,balanced
8dbadc4f5f3c1aee,https://www.bis.org/review/r970107b.pdf,"Bank of Japan's December review of monetary and economic trends in Japan (Central Bank Articles and Speeches, 20 Dec 96)",Bank of Japan,1996-12-20 00:00:00,1996,1313,Japan,national,institution_alias,Bank of Japan,False,False,,,9,0.43881156,0.87762313,0.66432138,True,dovish
21ca0f9ce90c1a00,https://www.bis.org/review/r970107a.pdf,"Mr. Matsushita considers the role of monetary policy in Japan (Central Bank Articles and Speeches, 6 Nov 96)",Yasuo Matsushita,1996-11-06 00:00:00,1996,6063,Japan,national,institution_alias,Bank of Japan,True,False,,,85,0.48176292,0.96352585,0.43925614,True,balanced
0d4f7c099e954f59,https://www.bis.org/review/r970106.pdf,"Prof. Tietmeyer discusses the Bundesbank's commitment to stability (Central Bank Articles and Speeches, 28 Dec 96)",Hans Tietmeyer,1996-12-28 00:00:00,1996,3562,Germany,national,institution_alias,Deutsche Bundesbank,True,False,,,30,0.49661173,0.99322346,0.39307509,True,balanced
5523a07e71e5390f,https://www.bis.org/review/r970512a.pdf,"Mr. Meyer discusses the economic outlook and the challenges facing monetary policy in the United States (Central Bank Articles and Speeches, 24 Apr 97)",Laurence H Meyer,1997-04-24 00:00:00,1997,6654,United States,national,institution_alias,Federal Reserve System,True,False,,,100,0.64328712,0.71342576,0.55987766,True,hawkish
351c6c324fd623f0,https://www.bis.org/review/r970605b.pdf,"Mr. Heikensten looks at the intellectual framework for monetary policy in Sweden (Central Bank Articles and Speeches, 26 May 97)",Lars Heikensten,1997-05-26 00:00:00,1997,4359,Sweden,national,speaker_fallback,,True,False,,,100,0.47697516,0.95395031,0.49636257,True,balanced
97c1b3338ad51321,https://www.bis.org/review/r971104a.pdf,"Mr. Thompson considers the topic of risks in banking (Central Bank Articles and Speeches, 28 Oct 97)",Graeme J. Thompson,1997-10-28 00:00:00,1997,3393,Australia,national,institution_alias,Reserve Bank of Australia,False,False,,,2,0.28782212,0.57564424,0.27408682,True,dovish
c1fc0056a9246c6e,https://www.bis.org/review/r980309a.pdf,"Mr. O'Connell reports on the Irish economy and different aspects of the Central Bank of Ireland's activities (Central Bank Articles and Speeches, 18 Feb 97)",Maurice O'Connell,1997-02-18 00:00:00,1997,3311,Ireland,national,institution_alias,Central Bank of Ireland,True,False,,,29,0.44364730,0.88729460,0.51672511,True,dovish
598886f4459ab60b,https://www.bis.org/review/r980227d.pdf,"Mr. Matsushita reports on recent financial and economic conditions in Japan (Central Bank Articles and Speeches, 12 Dec 97)",Masaru Hayami,1997-12-12 00:00:00,1997,5203,Japan,national,institution_alias,Bank of Japan,True,False,,,12,0.31263647,0.62527294,0.69107311,True,dovish
