rank,jurisdiction,speeches,speakers,years_observed,mean_hawkishness,median_hawkishness,mean_mixedness,mean_signal_strength,central_bank,years_with_3plus_speeches,annual_tone_sd,annual_tone_range,bootstrap_ci_lower,bootstrap_ci_upper
1,China,103,19,21,0.36443349,0.35327933,0.64232671,0.56055522,People's Bank of China,15,0.09874643,0.34869638,0.33305986,0.39493142
2,Kenya,76,6,16,0.39603048,0.37829503,0.62866026,0.54716374,Central Bank of Kenya,9,0.09375000,0.30665565,0.35136866,0.44006859
3,Japan,780,47,31,0.40587752,0.40637553,0.75479889,0.56262694,Bank of Japan,30,0.07102283,0.27215075,0.39744897,0.41466187
4,Greece,169,11,28,0.40914228,0.39713484,0.72428951,0.59317009,Bank of Greece,18,0.09290990,0.34983300,0.38692605,0.43127330
5,Albania,266,8,24,0.41058860,0.39651835,0.73992044,0.53719830,Bank of Albania,23,0.06938630,0.22879771,0.39482188,0.42671474
6,Portugal,67,8,17,0.41123693,0.42514817,0.74173112,0.50462813,Bank of Portugal,9,0.09779684,0.37474988,0.38047685,0.44298728
7,Zambia,102,7,17,0.41177347,0.38574293,0.67875738,0.61746934,Bank of Zambia,10,0.05400626,0.16452091,0.38038569,0.44498601
8,Israel,92,7,20,0.41524759,0.39597883,0.76189152,0.54392672,Bank of Israel,13,0.03478037,0.11809685,0.39249349,0.43931533
9,Fiji,78,5,17,0.41681020,0.41163194,0.67768634,0.59229414,Reserve Bank of Fiji,10,0.07652883,0.24475889,0.37786821,0.45898569
10,Malaysia,206,22,27,0.42155353,0.40054406,0.64101634,0.60603841,Central Bank of Malaysia,25,0.08956834,0.38544857,0.39624128,0.44863401
