rank,jurisdiction,speeches,speakers,years_observed,mean_hawkishness,median_hawkishness,mean_mixedness,mean_signal_strength,central_bank,years_with_3plus_speeches,annual_tone_sd,annual_tone_range,bootstrap_ci_lower,bootstrap_ci_upper
1,Türkiye,106,9,24,0.53925975,0.53347565,0.83478875,0.57751624,Central Bank of the Republic of Turkey,16,0.04373329,0.17471006,0.52150420,0.55752523
2,Norway,301,9,28,0.52987559,0.53691435,0.82579782,0.57833542,Norges Bank,28,0.07511134,0.29692719,0.51815224,0.54201988
3,Iceland,92,13,26,0.52053272,0.53050969,0.84682817,0.51978232,Central Bank of Iceland,15,0.05409789,0.15638334,0.50003220,0.53796171
4,Chile,146,11,23,0.51503449,0.52796847,0.84145936,0.53031365,Central Bank of Chile,20,0.06426329,0.30654373,0.49897534,0.53142782
5,South Africa,397,12,30,0.50463402,0.51797370,0.82466525,0.55581281,South African Reserve Bank,29,0.04622537,0.20980891,0.49375906,0.51638066
6,Sweden,495,25,30,0.50341709,0.51654023,0.84719371,0.52522024,Sveriges Riksbank,30,0.03959860,0.16527925,0.49363222,0.51203040
7,Mexico,89,10,15,0.48723461,0.50438834,0.81969949,0.56912569,Bank of Mexico,11,0.07559952,0.25444274,0.46243018,0.50951428
8,Denmark,104,9,26,0.48138484,0.47536539,0.77391822,0.61433929,National Bank of Denmark,19,0.10006419,0.38507167,0.45285857,0.50838626
9,Romania,56,6,19,0.47956225,0.48434859,0.80217806,0.53129589,National Bank of Romania,8,0.05438377,0.16304553,0.44519806,0.51130234
10,Netherlands,175,12,30,0.47635801,0.47419927,0.72819722,0.53578243,Netherlands Bank,23,0.09079065,0.39368932,0.45196425,0.50099978
