rank,jurisdiction,speeches,speakers,years_observed,mean_hawkishness,median_hawkishness,mean_mixedness,mean_signal_strength,central_bank,years_with_3plus_speeches,annual_tone_sd,annual_tone_range,bootstrap_ci_lower,bootstrap_ci_upper
1,Israel,92,7,20,0.41524759,0.39597883,0.76189152,0.54392672,Bank of Israel,13,0.03478037,0.11809685,0.39249349,0.43931533
2,Sweden,495,25,30,0.50341709,0.51654023,0.84719371,0.52522024,Sveriges Riksbank,30,0.03959860,0.16527925,0.49363222,0.51203040
3,United Kingdom,751,43,31,0.46252461,0.46978117,0.79825042,0.50570883,Bank of England,30,0.04210153,0.15825318,0.45305321,0.47100340
4,Türkiye,106,9,24,0.53925975,0.53347565,0.83478875,0.57751624,Central Bank of the Republic of Turkey,16,0.04373329,0.17471006,0.52150420,0.55752523
5,India,811,43,31,0.44881493,0.45767526,0.76234033,0.52314242,Reserve Bank of India,30,0.04498278,0.15090542,0.43892082,0.45829966
6,Italy,384,19,29,0.44106228,0.43570950,0.78097183,0.55155540,Bank of Italy,26,0.04560026,0.19702064,0.42955782,0.45307203
7,South Africa,397,12,30,0.50463402,0.51797370,0.82466525,0.55581281,South African Reserve Bank,29,0.04622537,0.20980891,0.49375906,0.51638066
8,Germany,779,32,31,0.45425823,0.45386434,0.77606786,0.49263819,Deutsche Bundesbank,30,0.04712014,0.20897922,0.44479255,0.46377850
9,United States,2061,68,31,0.45799665,0.46324053,0.79060138,0.55053347,Board of Governors of the Federal Reserve System,30,0.04781536,0.21314321,0.45241947,0.46356864
10,Zambia,102,7,17,0.41177347,0.38574293,0.67875738,0.61746934,Bank of Zambia,10,0.05400626,0.16452091,0.38038569,0.44498601
